Site,"New Castle, Virginia"
Contest,"Region 4 South, 2017"
"Courtesy of","John Godrey (QT)",JohnGQT2
Dated,"22 July 2017"
"Magnetic Variation",8.3W
"Time Zone Name","US/Eastern"
Datum,100
"File created on Saturday, 22 July 2017 at 23:08 GMT"
"The primary specification of the waypoint coordinates is","degrees, minutes, and seconds"
"UNOFFICIAL, USE AT YOUR OWN RISK"

"Do not use for navigation, for flight verification only."

"Always consult the relevant publications for current and correct"
"information. This service is provided free of charge with no warrantees,"
"expressed or implied."
"User assumes all risk of use."


Number,Name,"North/South","Latitude [degrees]","Latitude [minutes]","Latitude [seconds]","Latitude [decimal minutes]","Latitude [decimal degrees]","East/West","Longitude [degrees]","Longitude [minutes]","Longitude [seconds]","Longitude [decimal minutes]","Longitude [decimal degrees]","Elevation [Feet]","Control P",Turnpoint,ID[3],ID[5],ID[6],ID[10],ID[12],State,"ICAO Identifier",
27,"New River",N,37,8,14,8.23333,37.1372222,W,80,40,43,40.71667,-80.6786111,2106,TA,"06/24 122.70",NWR,NwRvr,NewRvr,"New River","New River",Virginia,PSK,
28,Oriskany,N,37,36,59,36.98333,37.6163889,W,79,59,1,59.01667,-79.9836111,1170,T,Church,ORS,Orskn,Oriskn,Oriskany,Oriskany,,,
29,"Peaks Otter",N,37,26,48,26.8,37.4466667,W,79,36,11,36.18333,-79.6030556,2500,T,Lodge,PkS,Pkstt,Pksttr,"Pks Otter","Peaks Otter",,,
30,Radford,N,37,5,41,5.68333,37.0947222,W,80,30,32,30.53333,-80.5088889,2090,T,Hospital,RDF,Rdfrd,Radfrd,Radford,Radford,,,
31,Riverwood,N,37,47,47,47.78333,37.7963889,W,79,46,0,46,-79.7666667,1020,TPA,Airstrip,RVR,Rvrwd,Rivrwd,Riverwood,Riverwood,Virginia,0VA2,
32,"Sweet Springs",N,37,37,42,37.7,37.6283333,W,80,14,29,14.48333,-80.2413889,1998,T,Hotel,SWT,SwtSp,SwtSpr,SwetSprngs,SweetSprings,,,
33,"Tazewell County",N,37,9,2,9.03333,37.1505556,W,81,27,15,27.25,-81.4541667,2900,T,Cemetary,TZW,Tzwll,TzwllC,TazewllCnt,TazewellCont,,,
34,"Union WV",N,37,35,29,35.48333,37.5913889,W,80,32,37,32.61667,-80.5436111,2070,T,"Town Center",UNN,UnnWV,UninWV,"Union WV","Union WV",,,
35,Waynesboro,N,38,4,37,4.61667,38.0769444,W,78,56,39,56.65,-78.9441667,1437,TA,123.05,WNS,Wnsbr,Wansbr,Waynesboro,Waynesboro,Virginia,W13,
36,"Wits End",N,37,21,4,21.06667,37.3511111,W,80,20,53,20.88333,-80.3480556,,T,,WTS,Wtsnd,Witsnd,"Wits End","Wits End",,,
0,Barrows,N,37,29,31,29.51667,37.4919444,W,79,55,43,55.71667,-79.9286111,1100,AP,"8/26 21T",BRR,Brrws,Barrws,Barrows,Barrows,Virginia,VA04,
0,"Bath Alum",N,38,3,9,3.15,38.0525,W,79,43,44,43.73333,-79.7288889,1779,PA,,BTH,Bthlm,Bathlm,"Bath Alum","Bath Alum",Virginia,9VA0,
0,"Black Bridge",N,37,36,56,36.93333,37.6155556,W,79,30,19,30.31667,-79.5052778,808,AP,,BLK,BlckB,BlckBr,"Black Brg","Black Bridge",Virginia,5VG1,
0,Bluegrass,N,37,3,43,3.71667,37.0619444,W,81,11,30,11.5,-81.1916667,2660,L,,BLG,Blgrs,Blgrss,Bluegrass,Bluegrass,,,
0,"Brook Hill Farm",N,37,55,41,55.68333,37.9280556,W,79,10,41,10.68333,-79.1780556,1600,AP,"3/21 20T",BRK,BrkHl,BrkHll,BrokHllFrm,BrookHillFrm,Virginia,VA00,
0,Bundoran,N,37,58,6,58.1,37.9683333,W,78,40,56,40.93333,-78.6822222,840,PA,,BND,Bndrn,Bundrn,Bundoran,Bundoran,Virginia,VA18,
0,"Burkes Garden",N,37,5,44,5.73333,37.0955556,W,81,22,9,22.15,-81.3691667,3060,AP,"6/24 25A",BUR,BrksG,BrksGr,BurkesGrdn,BurkesGarden,Virginia,VA07,
0,"Burnt Chimney",N,37,4,32,4.53333,37.0755556,W,79,49,38,49.63333,-79.8272222,1034,PA,,BRN,BrntC,BrntCh,BurntChimn,BurntChimney,Virginia,70VA,
0,Cathro,N,37,55,41,55.68333,37.9280556,W,78,33,5,33.08333,-78.5513889,520,L,,CTH,Cathr,Cathro,Cathro,Cathro,,,
0,Charlottesville,N,38,8,19,8.31667,38.1386111,W,78,27,10,27.16667,-78.4527778,639,A,,CHR,Chrlt,Chrltt,Chrlttsvll,Charlottsvll,Virginia,CHO,
0,Collins,N,36,37,30,37.5,36.625,W,80,10,14,10.23333,-80.1705556,1100,PA,,CLL,Cllns,Collns,Collins,Collins,Virginia,VG16,
0,"Cottonwood Farm",N,38,4,52,4.86667,38.0811111,W,78,41,44,41.73333,-78.6955556,690,PA,,CTT,Cttnw,Cttnwd,CottnwdFrm,CottonwodFrm,Virginia,87VA,
0,"Deer Creek Farm",N,38,28,17,28.28333,38.4713889,W,79,48,20,48.33333,-79.8055556,2650,PA,,DRC,DrCrk,DrCrkF,DeerCrkFrm,DeerCreekFrm,"West Virginia",WV00,
0,"Deer Run",N,36,59,39,59.65,36.9941667,W,80,27,16,27.26667,-80.4544444,2400,AP,"9/27 23T",DRR,DerRn,DeerRn,"Deer Run","Deer Run",Virginia,VA06,
0,Falwell,N,37,22,41,22.68333,37.3780556,W,79,7,20,7.33333,-79.1222222,939,A,,FLW,Flwll,Falwll,Falwell,Falwell,Virginia,W24,
0,Ferguson,N,37,7,5,7.08333,37.1180556,W,79,47,19,47.31667,-79.7886111,1050,PA,,FRG,Frgsn,Fergsn,Ferguson,Ferguson,Virginia,81VA,
0,Fincastle,N,37,31,20,31.33333,37.5222222,W,79,51,7,51.11667,-79.8519444,1140,AP,"11/29 30T",FNC,Fncst,Fncstl,Fincastle,Fincastle,Virginia,VA83,
0,Flatwoods,N,37,44,18,44.3,37.7383333,W,78,57,44,57.73333,-78.9622222,840,AP,"3/21 14T",FLT,Fltwd,Fltwds,Flatwoods,Flatwoods,Virginia,8VA6,
0,"Fulcher Family Farms",N,37,43,27,43.45,37.7241667,W,79,5,57,5.95,-79.0991667,980,PA,,FLC,Flchr,FlchrF,FlchrFmlFr,FlchrFmlFrms,Virginia,VG06,
0,"Hannah Field",N,38,23,54,23.9,38.3983333,W,79,36,1,36.01667,-79.6002778,3048,AP,Crossroads,HNN,HnnhF,HnnhFl,HannahFild,"Hannah Field",Virginia,7VA9,
0,"Hawk Ridge",N,37,17,20,17.33333,37.2888889,W,79,26,50,26.83333,-79.4472222,760,PA,,HWK,HwkRd,HwkRdg,"Hawk Ridge","Hawk Ridge",Virginia,20VG,
0,"Hop Along",N,37,47,23,47.38333,37.7897222,W,79,46,15,46.25,-79.7708333,1040,AP,"14/32 22T",HPL,Hplng,Hoplng,"Hop Along","Hop Along",Virginia,12VA,
0,"Johnson Fox",N,37,14,1,14.01667,37.2336111,W,79,35,7,35.11667,-79.5852778,900,AP,"14/32 20T",JHN,Jhnsn,JhnsnF,JohnsonFox,"Johnson Fox",Virginia,0VA1,
0,Lakeview,N,37,7,7,7.11667,37.1186111,W,79,36,10,36.16667,-79.6027778,1020,PA,,LKV,Lakvw,Lakevw,Lakeview,Lakeview,Virginia,VA68,
0,Lewisburg,N,37,51,30,51.5,37.8583333,W,80,23,58,23.96667,-80.3994444,2302,A,"4/22 18.9",LWS,Lwsbr,Lwsbrg,Lewisburg,Lewisburg,"West Virginia",LWB,
